ID	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
vOTU46	205.74	424.58	765.02	478.69	15782.06	17742.24	19602.27	14511.06	11406.01	15398.94	8543.45	10987.17	12992.68	10984.42	7157.82	12141.48	11370.62	7683.17	10340.92	11505.73	775.21	838.2	545.33	697.32	11366	13945.79	12006.99	14659.55	15054.28	12892.51	16582.41	17595.42	10570.34	11583.89	6928.95	11401.96	9960.62	13575.34	11899.83	14796.09
vOTU47	1139.87	1792.24	2348.57	1443.33	25657.41	21398.16	24917.57	20550.27	17443.11	21058.35	13277.97	17950.42	14441.37	15365.96	22849.79	18932.5	13234.65	7648.02	8730.22	10374.49	2726.93	4791.31	5754.83	5559.98	11056.42	13473.31	11160.53	10660.83	9118.45	12385.67	13407.52	15977.51	11154.88	11808.69	5858.51	12114.34	7866.18	8931.68	7318.51	11576.14
vOTU48	601.4	650.98	782.83	1372.41	5910.31	5341.89	5921.7	4487.41	35112.04	54000.72	33166.71	29762.39	5715.44	5728.48	6589.18	6562.1	5734.11	5929.05	5754.75	5216.73	845.52	902.04	1094.42	1216.91	4698.38	5415.89	4801.33	5050.29	6902.14	7517.81	6485.96	7810.47	3897.37	4235.61	2993.84	4236.76	5312.62	7348.52	6147.51	6707.55
vOTU49	342.27	379.88	517.24	107.07	0	0	0	0	7756.58	7418.77	8999.06	31443.74	90.28	66.66	0	0	0	0	0	0	303.45	601.52	1209.62	1395.12	49.71	115.33	62.25	29.73	0	69.61	64.59	280.31	155.55	92.54	65.36	60.72	25.82	32.8	61.7	0
vOTU5	49371.95	14245.77	17403.78	8875.71	9697.98	6754.61	2317.53	15098.92	725.49	1476.2	13101.88	28471.52	1639.59	623.51	1736.18	580.54	1010.15	36144.9	9661.45	21429.18	37476.33	37260.8	7054.54	17892.59	30925.41	1528.17	21376.11	9635.94	15491.53	2433.37	4243.81	674.17	16447.71	12124.74	35408.96	7773.99	55813.21	16015.26	17578.71	1548.88
vOTU50	327.24	441.02	316.05	621.53	465.21	0	134.97	136.67	7818.88	9689.31	8400.21	33064.55	139.75	77.39	81.32	164.7	0	49.52	139.24	0	851.35	888.78	578.24	1971.74	57.71	0	72.27	207.1	80.96	646.49	449.89	464.88	72.23	0	113.81	352.48	59.95	76.16	214.88	0
vOTU51	0	0	0	0	11415.07	12222.7	10248.42	9268.52	15174.73	10848.4	9492.52	8832.27	20250.48	23595.34	30449.23	28162.54	16032.44	10621.26	17432.6	15652.01	0	0	0	0	7292.29	9209.33	9802.26	7922.85	10793.3	13771.14	9822.3	11425.1	8373.76	11955.91	8268	10297.12	12927.23	15804.18	23664.19	17560.5
vOTU52	0	0	0	0	607.12	520.33	66.05	1003.29	1891.77	810.58	1520.05	2099.64	4445.49	4620.74	3422.58	2418.15	27147.67	19292.95	21464.98	21831.39	0	0	0	0	677.84	611.57	990.33	878.42	4199.94	5774.13	4256.71	4186.23	2615.97	2103.07	1968.02	3312.06	3638.28	6038.31	6800.33	5370.94
vOTU53	14597.23	7512.15	12255.79	12341.4	120.75	137.98	262.75	53.21	478.87	515.89	164.9	115.2	163.23	60.26	0	192.38	0	0	54.21	103.07	228.6	0	385.94	109.67	134.82	0	225.1	0	0	0	116.77	362	112.49	111.54	177.25	274.47	186.74	355.84	278.87	361.09
vOTU54	30056.58	17601.53	18129.38	18386.19	253.91	362.69	184.16	111.89	167.82	406.8	192.64	60.56	362.3	506.88	221.92	427	165.9	162.18	76	162.56	688.98	606.37	789	1018.51	110.24	267.95	78.89	75.36	66.28	66.16	204.62	152.24	118.27	58.64	41.41	115.43	0	103.92	39.09	42.18
vOTU55	27361.59	19311.28	17448.96	18496.7	90.31	335.4	0	298.48	537.22	265.27	267.22	129.24	183.12	495.79	355.19	335.72	110.64	115.37	202.73	154.18	589.85	979.77	745.68	1148.31	168.05	259.92	105.22	160.82	117.88	47.06	21.83	189.52	210.34	41.71	22.09	164.22	0	88.71	125.14	112.53
vOTU56	18774.33	19148.74	19294.79	17814.93	188.34	35.87	81.96	193.66	320.1	234.69	485.83	449.19	113.15	438.64	164.61	100.02	61.53	160.4	56.37	214.36	1212.27	1387.87	1705.56	3962.73	233.64	325.23	263.32	503.07	32.78	0	60.71	75.28	87.73	115.98	30.72	114.16	0	123.34	0	0
