ID	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
vOTU71	9424.12	13496.71	15442.54	12950.54	807.77	1753.84	1792.84	1601.85	3249.22	2156.96	2059.19	2273.38	2875.46	3910.46	2711.06	3260.23	1781.26	1393.1	2103.4	1827.26	9190.73	10946.15	12048.46	14196.06	1713.55	1580.89	2296.44	2625.15	2572.6	1262.87	1484.24	1452.98	1429.85	1529.64	1146.19	1358.73	780.76	1904.34	1044.7	2053.22
vOTU72	11950.68	15977.39	14881.79	23326.09	1385.65	1239.21	1363.36	1646.03	1228.74	1544.37	2139.15	574.76	1954.56	3668.2	1453.3	4351.22	3306.5	2693.73	2812.96	3548.47	11542.32	11690.92	14377.67	15867.98	4035.83	4438.85	4717.06	5310.48	6919.92	8602.51	5185.34	9825.29	5107.57	6232.91	4922.79	4929.92	4425.56	7752.51	7235.07	7326.44
vOTU73	2085.02	2841.2	2944.5	4065.75	4149.76	3512.64	3946.31	4673.35	4353.7	5991.89	3778.08	3005.89	5124.85	4602.31	4513.53	3264.85	3765.76	2748.82	1932.06	3279.93	10038.37	8683.23	13836.58	9771.32	1830.38	3096.42	2077.27	3010.6	2246.82	6407.62	2972.68	3501.8	3364.9	1774.66	2744.85	3773.05	2376.88	3321.43	2413.68	2298.03
vOTU74	7746.34	11108.32	13124.83	10489.72	0	0	276.11	139.8	0	508.25	144.41	0	71.47	0	665.43	168.47	155.45	101.31	142.42	67.7	7416.93	8246.87	16729.8	10372.2	118.06	0	0	141.23	0	0	0	0	0	0	155.22	0	0	155.81	0	79.05
vOTU75	6991.95	7715.11	11209.71	12151.21	0	0	144.19	219.01	187.71	176.95	150.83	158.05	0	0	0	351.91	0	0	0	0	6460.76	7935.24	13060.98	8275.42	0	0	0	0	0	0	0	0	154.34	0	81.06	0	128.1	81.37	0	82.57
vOTU76	8683.57	9108.18	13038.96	10572.85	0	0	0	0	0	80.96	0	0	0	0	159	0	0	96.84	68.06	0	12814.8	15888.69	18695.6	18243.89	0	87.26	0	134.98	39.58	79	0	0	0	0	37.09	68.92	0	0	0	0
vOTU77	7375.39	9654.31	10198.35	10821.29	277.11	90.48	34.46	209.34	89.71	84.57	216.25	264.37	71.35	158.06	332.16	84.09	38.8	0	106.64	67.59	15363.72	14164.84	24293.66	17977.26	0	91.15	110.7	105.74	0	123.78	382.84	0	36.88	146.27	271.18	71.99	61.22	77.77	146.28	0
vOTU78	12533.2	17633.41	17558.29	16794.05	2240.78	2038.55	1846.19	2166.66	1996.67	1359.34	1733.08	1338.7	843.04	1205.18	958.32	670.09	948.8	437.73	761.83	965.67	19625.01	21633.77	30629.65	27187.95	744.87	475.86	588.06	803.86	726.93	884.31	852.07	678.29	658.7	743.55	580.13	751.65	874.75	598.36	773.74	661.4
vOTU79	11492.5	18069.81	19683.07	17860.18	5675.93	5518.01	5235.18	5450.49	7583.15	5429.08	7404.27	3717.76	8474.34	8455.87	5508.75	4228.98	6725.13	3841.94	6693.89	5568.25	14819.03	18797.71	17509.65	21543.54	5233.63	5266.47	4106.12	5279.98	7076.75	5209.45	5407.12	6095.27	5761.44	9781.78	4642.46	8934.92	7140.14	6823.71	8451.98	9288.83
vOTU8	2221.35	2465.41	3710.26	2432.17	30720.07	29037.36	33434.58	30322.34	35299.36	32580.64	29744.4	28015.53	37010.82	44075	50630.91	49949.79	41524.01	26682.27	39502.87	38063.09	4349.01	4746.75	4617.88	6249.41	21575.24	27194.97	27472.82	28992.45	23534.98	26484.37	23945.02	26508.1	25843.69	26425.21	19060.56	25024.94	18559.25	28952.23	25926.32	27759.28
vOTU9	27190.42	34980.64	34419.08	34483.4	35182.97	35875.03	43566.02	33067.48	41317.63	39039.51	37193.19	31228.13	43131.56	43790.69	49180.65	51559.65	34258.12	23674.02	29954.08	27868.6	19760.88	24328.93	32991.98	28875.28	17430.11	21940.91	17764.66	22346.67	16479.98	20962.73	19560.67	20463.11	18047.62	20710.27	13325.73	16344.25	10970.15	14887.48	13342.75	15021.98
